product_id,material_id,qty_per_unit
P001,M01,0.12
P001,M03,0.09
P001,M04,0.35
P001,M05,0.05
P001,M07,0.02
P001,M14,0.004
P001,M13,0.002
P001,M16,1.0
P001,M17,0.25
P002,M01,0.12
P002,M03,0.09
P002,M04,0.35
P002,M05,0.05
P002,M07,0.02
P002,M14,0.004
P002,M13,0.002
P002,M16,1.0
P002,M17,0.25
P003,M01,0.12
P003,M03,0.09
P003,M04,0.35
P003,M05,0.05
P003,M07,0.02
P003,M14,0.004
P003,M13,0.002
P003,M16,1.0
P003,M17,0.25
P004,M01,0.12
P004,M03,0.09
P004,M04,0.35
P004,M05,0.05
P004,M07,0.02
P004,M14,0.004
P004,M13,0.002
P004,M16,1.0
P004,M17,0.25
P005,M01,0.1
P005,M03,0.11
P005,M04,0.3
P005,M05,0.09
P005,M06,0.03
P005,M08,0.02
P005,M14,0.003
P005,M13,0.003
P005,M16,1.0
P005,M17,0.25
P006,M01,0.1
P006,M03,0.11
P006,M04,0.3
P006,M05,0.09
P006,M06,0.03
P006,M08,0.02
P006,M14,0.003
P006,M13,0.003
P006,M16,1.0
P006,M17,0.25
P007,M01,0.1
P007,M03,0.11
P007,M04,0.3
P007,M05,0.09
P007,M06,0.03
P007,M08,0.02
P007,M14,0.003
P007,M13,0.003
P007,M16,1.0
P007,M17,0.25
P008,M01,0.1
P008,M03,0.11
P008,M04,0.3
P008,M05,0.09
P008,M06,0.03
P008,M08,0.02
P008,M14,0.003
P008,M13,0.003
P008,M16,1.0
P008,M17,0.25
P009,M01,0.035
P009,M02,0.01
P009,M03,0.012
P009,M05,0.015
P009,M09,0.008
P009,M10,0.006
P009,M11,0.0004
P009,M12,0.0003
P009,M15,0.001
P009,M16,1.0
P010,M01,0.035
P010,M02,0.01
P010,M03,0.012
P010,M05,0.015
P010,M09,0.008
P010,M10,0.006
P010,M11,0.0004
P010,M12,0.0003
P010,M15,0.001
P010,M16,1.0
P011,M01,0.035
P011,M02,0.01
P011,M03,0.012
P011,M05,0.015
P011,M09,0.008
P011,M10,0.006
P011,M11,0.0004
P011,M12,0.0003
P011,M15,0.001
P011,M16,1.0
P012,M01,0.035
P012,M02,0.01
P012,M03,0.012
P012,M05,0.015
P012,M09,0.008
P012,M10,0.006
P012,M11,0.0004
P012,M12,0.0003
P012,M15,0.001
P012,M16,1.0
P013,M01,0.035
P013,M02,0.01
P013,M03,0.012
P013,M05,0.015
P013,M09,0.008
P013,M10,0.006
P013,M11,0.0004
P013,M12,0.0003
P013,M15,0.001
P013,M16,1.0
P014,M01,0.035
P014,M02,0.01
P014,M03,0.012
P014,M05,0.015
P014,M09,0.008
P014,M10,0.006
P014,M11,0.0004
P014,M12,0.0003
P014,M15,0.001
P014,M16,1.0
P015,M01,0.018
P015,M03,0.01
P015,M07,0.008
P015,M08,0.004
P015,M14,0.0008
P015,M16,1.0
P016,M01,0.018
P016,M03,0.01
P016,M07,0.008
P016,M08,0.004
P016,M14,0.0008
P016,M16,1.0
P017,M01,0.018
P017,M03,0.01
P017,M07,0.008
P017,M08,0.004
P017,M14,0.0008
P017,M16,1.0
P018,M01,0.09
P018,M03,0.05
P018,M05,0.04
P018,M04,0.02
P018,M08,0.015
P018,M14,0.002
P018,M16,1.0
P018,M17,0.2
P019,M01,0.09
P019,M03,0.05
P019,M05,0.04
P019,M04,0.02
P019,M08,0.015
P019,M14,0.002
P019,M16,1.0
P019,M17,0.2
P020,M01,0.09
P020,M03,0.05
P020,M05,0.04
P020,M04,0.02
P020,M08,0.015
P020,M14,0.002
P020,M16,1.0
P020,M17,0.2
P021,M01,0.05
P021,M03,0.04
P021,M05,0.03
P021,M09,0.02
P021,M10,0.03
P021,M11,0.001
P021,M12,0.0005
P021,M18,1.0
P022,M01,0.05
P022,M03,0.04
P022,M05,0.03
P022,M09,0.02
P022,M10,0.03
P022,M11,0.001
P022,M12,0.0005
P022,M18,1.0
P023,M01,0.05
P023,M03,0.04
P023,M05,0.03
P023,M09,0.02
P023,M10,0.03
P023,M11,0.001
P023,M12,0.0005
P023,M18,1.0
P024,M01,0.05
P024,M03,0.04
P024,M05,0.03
P024,M09,0.02
P024,M10,0.03
P024,M11,0.001
P024,M12,0.0005
P024,M18,1.0
P025,M01,0.05
P025,M03,0.04
P025,M05,0.03
P025,M09,0.02
P025,M10,0.03
P025,M11,0.001
P025,M12,0.0005
P025,M18,1.0
