date,material_id,transaction_type,quantity
2024-01-01,M01,Consumption,-219.86
2024-01-01,M01,OnHandSnapshot,2725.67
2024-01-02,M01,Consumption,-204.8
2024-01-02,M01,OnHandSnapshot,2520.88
2024-01-03,M01,Consumption,-206.2
2024-01-03,M01,OnHandSnapshot,2314.68
2024-01-04,M01,Consumption,-234.26
2024-01-04,M01,OnHandSnapshot,2080.42
2024-01-05,M01,Consumption,-281.18
2024-01-05,M01,OnHandSnapshot,1799.24
2024-01-06,M01,Consumption,-202.55
2024-01-06,M01,OnHandSnapshot,1596.69
2024-01-07,M01,Receipt,4418.3
2024-01-07,M01,Consumption,-201.98
2024-01-07,M01,OnHandSnapshot,5813.01
2024-01-08,M01,Consumption,-210.77
2024-01-08,M01,OnHandSnapshot,5602.24
2024-01-09,M01,Consumption,-203.34
2024-01-09,M01,OnHandSnapshot,5398.9
2024-01-10,M01,Consumption,-207.96
2024-01-10,M01,OnHandSnapshot,5190.94
2024-01-11,M01,Consumption,-244.98
2024-01-11,M01,OnHandSnapshot,4945.95
2024-01-12,M01,Consumption,-290.05
2024-01-12,M01,OnHandSnapshot,4655.91
2024-01-13,M01,Consumption,-200.92
2024-01-13,M01,OnHandSnapshot,4454.99
2024-01-14,M01,Consumption,-212.69
2024-01-14,M01,OnHandSnapshot,4242.3
2024-01-15,M01,Consumption,-212.23
2024-01-15,M01,OnHandSnapshot,4030.07
2024-01-16,M01,Consumption,-208.44
2024-01-16,M01,OnHandSnapshot,3821.63
2024-01-17,M01,Consumption,-210.28
2024-01-17,M01,OnHandSnapshot,3611.35
2024-01-18,M01,Consumption,-232.36
2024-01-18,M01,OnHandSnapshot,3378.99
2024-01-19,M01,Consumption,-284.48
2024-01-19,M01,OnHandSnapshot,3094.51
2024-01-20,M01,Consumption,-205.18
2024-01-20,M01,OnHandSnapshot,2889.33
2024-01-21,M01,Consumption,-204.93
2024-01-21,M01,OnHandSnapshot,2684.4
2024-01-22,M01,Consumption,-204.28
2024-01-22,M01,OnHandSnapshot,2480.11
2024-01-23,M01,Consumption,-221.84
2024-01-23,M01,OnHandSnapshot,2258.27
2024-01-24,M01,Consumption,-205.83
2024-01-24,M01,OnHandSnapshot,2052.44
2024-01-25,M01,Receipt,4418.3
2024-01-25,M01,Consumption,-249.66
2024-01-25,M01,OnHandSnapshot,6221.08
2024-01-26,M01,Consumption,-288.82
2024-01-26,M01,OnHandSnapshot,5932.27
2024-01-27,M01,Consumption,-212.54
2024-01-27,M01,OnHandSnapshot,5719.73
2024-01-28,M01,Consumption,-211.72
2024-01-28,M01,OnHandSnapshot,5508.01
2024-01-29,M01,Consumption,-213.03
2024-01-29,M01,OnHandSnapshot,5294.98
2024-01-30,M01,Consumption,-211.46
2024-01-30,M01,OnHandSnapshot,5083.52
2024-01-31,M01,Consumption,-212.21
2024-01-31,M01,OnHandSnapshot,4871.31
2024-02-01,M01,Consumption,-246.51
2024-02-01,M01,OnHandSnapshot,4624.8
2024-02-02,M01,Consumption,-280.49
2024-02-02,M01,OnHandSnapshot,4344.31
2024-02-03,M01,Consumption,-200.96
2024-02-03,M01,OnHandSnapshot,4143.35
2024-02-04,M01,Consumption,-209.17
2024-02-04,M01,OnHandSnapshot,3934.18
2024-02-05,M01,Consumption,-216.57
2024-02-05,M01,OnHandSnapshot,3717.61
2024-02-06,M01,Consumption,-207.12
2024-02-06,M01,OnHandSnapshot,3510.48
2024-02-07,M01,Consumption,-196.67
2024-02-07,M01,OnHandSnapshot,3313.81
2024-02-08,M01,Consumption,-244.61
2024-02-08,M01,OnHandSnapshot,3069.2
2024-02-09,M01,Consumption,-278.38
2024-02-09,M01,OnHandSnapshot,2790.81
2024-02-10,M01,Consumption,-199.0
2024-02-10,M01,OnHandSnapshot,2591.81
2024-02-11,M01,Consumption,-202.64
2024-02-11,M01,OnHandSnapshot,2389.17
2024-02-12,M01,Consumption,-218.57
2024-02-12,M01,OnHandSnapshot,2170.6
2024-02-13,M01,Consumption,-217.02
2024-02-13,M01,OnHandSnapshot,1953.58
2024-02-14,M01,Receipt,4418.3
2024-02-14,M01,Consumption,-216.77
2024-02-14,M01,OnHandSnapshot,6155.11
2024-02-15,M01,Consumption,-247.47
2024-02-15,M01,OnHandSnapshot,5907.64
2024-02-16,M01,Consumption,-284.78
2024-02-16,M01,OnHandSnapshot,5622.86
2024-02-17,M01,Consumption,-206.17
2024-02-17,M01,OnHandSnapshot,5416.69
2024-02-18,M01,Consumption,-201.98
2024-02-18,M01,OnHandSnapshot,5214.71
2024-02-19,M01,Consumption,-200.6
2024-02-19,M01,OnHandSnapshot,5014.11
2024-02-20,M01,Consumption,-204.85
2024-02-20,M01,OnHandSnapshot,4809.25
2024-02-21,M01,Consumption,-206.03
2024-02-21,M01,OnHandSnapshot,4603.23
2024-02-22,M01,Consumption,-243.63
2024-02-22,M01,OnHandSnapshot,4359.59
2024-02-23,M01,Consumption,-290.15
2024-02-23,M01,OnHandSnapshot,4069.44
2024-02-24,M01,Consumption,-196.04
2024-02-24,M01,OnHandSnapshot,3873.41
2024-02-25,M01,Consumption,-214.16
2024-02-25,M01,OnHandSnapshot,3659.24
2024-02-26,M01,Consumption,-215.99
2024-02-26,M01,OnHandSnapshot,3443.25
2024-02-27,M01,Consumption,-228.1
2024-02-27,M01,OnHandSnapshot,3215.15
2024-02-28,M01,Consumption,-208.01
2024-02-28,M01,OnHandSnapshot,3007.14
2024-02-29,M01,Consumption,-239.56
2024-02-29,M01,OnHandSnapshot,2767.58
2024-03-01,M01,Consumption,-282.27
2024-03-01,M01,OnHandSnapshot,2485.3
2024-03-02,M01,Consumption,-213.72
2024-03-02,M01,OnHandSnapshot,2271.58
2024-03-03,M01,Consumption,-245.07
2024-03-03,M01,OnHandSnapshot,2026.51
2024-03-04,M01,Receipt,4418.3
2024-03-04,M01,Consumption,-233.3
2024-03-04,M01,OnHandSnapshot,6211.51
2024-03-05,M01,Consumption,-224.8
2024-03-05,M01,OnHandSnapshot,5986.71
2024-03-06,M01,Consumption,-245.05
2024-03-06,M01,OnHandSnapshot,5741.65
2024-03-07,M01,Consumption,-297.4
2024-03-07,M01,OnHandSnapshot,5444.26
2024-03-08,M01,Consumption,-374.33
2024-03-08,M01,OnHandSnapshot,5069.93
