date,line_id,product_id,planned_units,produced_units,scrap_units,downtime_minutes
2024-01-01,L1,P001,98,95,2,23
2024-01-01,L1,P002,101,99,1,11
2024-01-01,L1,P003,122,119,3,0
2024-01-01,L1,P004,106,103,2,20
2024-01-01,L2,P005,47,46,1,8
2024-01-01,L2,P006,87,84,1,34
2024-01-01,L2,P007,53,52,1,11
2024-01-01,L2,P008,58,57,1,8
2024-01-01,L3,P009,173,169,3,10
2024-01-01,L3,P010,192,189,2,14
2024-01-01,L3,P011,154,150,2,43
2024-01-01,L3,P012,174,171,3,0
2024-01-01,L3,P013,137,135,2,0
2024-01-01,L3,P014,157,153,2,34
2024-01-01,L4,P015,516,510,1,20
2024-01-01,L4,P016,733,709,13,28
2024-01-01,L4,P017,555,539,15,2
2024-01-01,L4,P018,263,262,1,1
2024-01-01,L4,P019,243,239,4,0
2024-01-01,L4,P020,339,329,6,25
2024-01-01,L5,P021,23,23,0,14
2024-01-01,L5,P022,27,27,0,32
2024-01-01,L5,P023,27,26,1,1
2024-01-01,L5,P024,17,17,0,22
2024-01-01,L5,P025,24,24,0,29
2024-01-02,L1,P001,86,83,2,12
2024-01-02,L1,P002,110,107,2,10
2024-01-02,L1,P003,91,89,1,18
2024-01-02,L1,P004,90,87,1,34
2024-01-02,L2,P005,79,77,1,23
2024-01-02,L2,P006,68,66,1,38
2024-01-02,L2,P007,57,56,1,11
2024-01-02,L2,P008,55,53,1,22
2024-01-02,L3,P009,180,175,3,24
2024-01-02,L3,P010,165,159,4,35
2024-01-02,L3,P011,171,168,3,0
2024-01-02,L3,P012,153,149,2,31
2024-01-02,L3,P013,166,162,2,41
2024-01-02,L3,P014,150,147,3,4
2024-01-02,L4,P015,521,515,6,0
2024-01-02,L4,P016,557,533,8,55
2024-01-02,L4,P017,550,538,5,25
2024-01-02,L4,P018,254,247,4,19
2024-01-02,L4,P019,241,233,2,47
2024-01-02,L4,P020,272,267,5,0
2024-01-02,L5,P021,27,26,0,43
2024-01-02,L5,P022,21,21,0,0
2024-01-02,L5,P023,21,21,0,26
2024-01-02,L5,P024,39,39,0,20
2024-01-02,L5,P025,19,19,0,12
2024-01-03,L1,P001,100,98,1,16
2024-01-03,L1,P002,93,89,2,35
2024-01-03,L1,P003,93,91,1,13
2024-01-03,L1,P004,94,91,1,39
2024-01-03,L2,P005,73,70,2,17
2024-01-03,L2,P006,66,64,1,22
2024-01-03,L2,P007,67,66,1,0
2024-01-03,L2,P008,46,45,1,18
2024-01-03,L3,P009,169,166,1,33
2024-01-03,L3,P010,159,157,2,0
2024-01-03,L3,P011,194,192,1,19
2024-01-03,L3,P012,186,184,2,1
2024-01-03,L3,P013,152,149,2,18
2024-01-03,L3,P014,172,170,0,33
