po_id,material_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity,unit_cost_irr,status
PO00001,M01,SUP01,2024-01-01,2024-01-06,2024-01-07,4418.3,28000,Delivered
PO00002,M01,SUP01,2024-01-20,2024-01-25,2024-01-25,4418.3,28000,Delivered
PO00003,M01,SUP01,2024-02-09,2024-02-14,2024-02-14,4418.3,28000,Delivered
PO00004,M01,SUP01,2024-02-29,2024-03-05,2024-03-04,4418.3,28000,Delivered
PO00005,M01,SUP01,2024-03-15,2024-03-20,2024-03-20,4418.3,28000,Delivered
PO00006,M01,SUP01,2024-03-30,2024-04-04,2024-04-04,4418.3,28000,Delivered
PO00007,M01,SUP01,2024-04-19,2024-04-24,2024-04-23,4418.3,28000,Delivered
PO00008,M01,SUP01,2024-05-08,2024-05-13,2024-05-17,4418.3,28000,Delivered
PO00009,M01,SUP01,2024-05-27,2024-06-01,2024-06-01,4418.3,28000,Delivered
PO00010,M01,SUP01,2024-06-16,2024-06-21,2024-06-21,4418.3,28000,Delivered
PO00011,M01,SUP01,2024-07-05,2024-07-10,2024-07-08,4418.3,28000,Delivered
PO00012,M01,SUP01,2024-07-24,2024-07-29,2024-07-29,4418.3,28000,Delivered
PO00013,M01,SUP01,2024-08-12,2024-08-17,2024-08-17,4418.3,28000,Delivered
PO00014,M01,SUP01,2024-08-30,2024-09-04,2024-09-03,4418.3,28000,Delivered
PO00015,M01,SUP01,2024-09-18,2024-09-23,2024-09-22,4418.3,28000,Delivered
PO00016,M01,SUP01,2024-10-07,2024-10-12,2024-10-12,4418.3,28000,Delivered
PO00017,M01,SUP01,2024-10-25,2024-10-30,2024-10-29,4418.3,28000,Delivered
PO00018,M01,SUP01,2024-11-14,2024-11-19,2024-11-21,4418.3,28000,Delivered
PO00019,M01,SUP01,2024-12-02,2024-12-07,2024-12-07,4418.3,28000,Delivered
PO00020,M01,SUP01,2024-12-20,2024-12-25,2024-12-25,4418.3,28000,Delivered
PO00021,M01,SUP01,2025-01-07,2025-01-12,2025-01-10,4418.3,28000,Delivered
PO00022,M01,SUP01,2025-01-25,2025-01-30,2025-01-30,4418.3,28000,Delivered
PO00023,M01,SUP01,2025-02-13,2025-02-18,2025-02-17,4418.3,28000,Delivered
PO00024,M01,SUP01,2025-03-03,2025-03-08,2025-03-06,4418.3,28000,Delivered
PO00025,M01,SUP01,2025-03-16,2025-03-21,2025-03-20,4418.3,28000,Delivered
PO00026,M01,SUP01,2025-03-31,2025-04-05,2025-04-05,4418.3,28000,Delivered
PO00027,M01,SUP01,2025-04-18,2025-04-23,2025-04-22,4418.3,28000,Delivered
PO00028,M01,SUP01,2025-05-07,2025-05-12,2025-05-12,4418.3,28000,Delivered
