date,product_id,region_id,units_sold,unit_price_irr,revenue_irr,is_promo_day
2024-01-01,P001,R01,30,185000,5550000,False
2024-01-01,P001,R02,13,185000,2405000,False
2024-01-01,P001,R03,12,185000,2220000,False
2024-01-01,P001,R04,10,185000,1850000,False
2024-01-01,P001,R05,18,185000,3330000,False
2024-01-01,P001,R06,6,185000,1110000,False
2024-01-01,P001,R07,3,185000,555000,False
2024-01-02,P001,R01,27,185000,4995000,False
2024-01-02,P001,R02,11,185000,2035000,False
2024-01-02,P001,R03,7,185000,1295000,False
2024-01-02,P001,R04,11,185000,2035000,False
2024-01-02,P001,R05,9,185000,1665000,False
2024-01-02,P001,R06,9,185000,1665000,False
2024-01-02,P001,R07,7,185000,1295000,False
2024-01-03,P001,R01,26,185000,4810000,False
2024-01-03,P001,R02,14,185000,2590000,False
2024-01-03,P001,R03,18,185000,3330000,False
2024-01-03,P001,R04,10,185000,1850000,False
2024-01-03,P001,R05,7,185000,1295000,False
2024-01-03,P001,R06,10,185000,1850000,False
2024-01-03,P001,R07,9,185000,1665000,False
2024-01-04,P001,R01,32,185000,5920000,False
2024-01-04,P001,R02,18,185000,3330000,False
2024-01-04,P001,R03,20,185000,3700000,False
2024-01-04,P001,R04,17,185000,3145000,False
2024-01-04,P001,R05,22,185000,4070000,False
2024-01-04,P001,R06,11,185000,2035000,False
2024-01-04,P001,R07,5,185000,925000,False
2024-01-05,P001,R01,31,185000,5735000,False
2024-01-05,P001,R02,20,185000,3700000,False
2024-01-05,P001,R03,12,185000,2220000,False
2024-01-05,P001,R04,11,185000,2035000,False
2024-01-05,P001,R05,18,185000,3330000,False
2024-01-05,P001,R06,12,185000,2220000,False
2024-01-05,P001,R07,9,185000,1665000,False
2024-01-06,P001,R01,32,185000,5920000,False
2024-01-06,P001,R02,8,185000,1480000,False
2024-01-06,P001,R03,6,185000,1110000,False
2024-01-06,P001,R04,13,185000,2405000,False
2024-01-06,P001,R05,6,185000,1110000,False
2024-01-06,P001,R06,10,185000,1850000,False
2024-01-06,P001,R07,3,185000,555000,False
2024-01-07,P001,R01,37,185000,6845000,False
2024-01-07,P001,R02,18,185000,3330000,False
2024-01-07,P001,R03,14,185000,2590000,False
2024-01-07,P001,R04,11,185000,2035000,False
2024-01-07,P001,R05,8,185000,1480000,False
2024-01-07,P001,R06,10,185000,1850000,False
2024-01-07,P001,R07,5,185000,925000,False
2024-01-08,P001,R01,28,185000,5180000,False
2024-01-08,P001,R02,12,185000,2220000,False
2024-01-08,P001,R03,11,185000,2035000,False
2024-01-08,P001,R04,8,185000,1480000,False
2024-01-08,P001,R05,14,185000,2590000,False
2024-01-08,P001,R06,11,185000,2035000,False
2024-01-08,P001,R07,8,185000,1480000,False
2024-01-09,P001,R01,33,185000,6105000,False
2024-01-09,P001,R02,18,185000,3330000,False
2024-01-09,P001,R03,15,185000,2775000,False
2024-01-09,P001,R04,13,185000,2405000,False
2024-01-09,P001,R05,10,185000,1850000,False
2024-01-09,P001,R06,8,185000,1480000,False
2024-01-09,P001,R07,7,185000,1295000,False
2024-01-10,P001,R01,34,185000,6290000,False
2024-01-10,P001,R02,10,185000,1850000,False
2024-01-10,P001,R03,12,185000,2220000,False
2024-01-10,P001,R04,10,185000,1850000,False
2024-01-10,P001,R05,11,185000,2035000,False
2024-01-10,P001,R06,10,185000,1850000,False
2024-01-10,P001,R07,8,185000,1480000,False
2024-01-11,P001,R01,45,185000,8325000,False
2024-01-11,P001,R02,12,185000,2220000,False
2024-01-11,P001,R03,15,185000,2775000,False
2024-01-11,P001,R04,12,185000,2220000,False
2024-01-11,P001,R05,14,185000,2590000,False
2024-01-11,P001,R06,15,185000,2775000,False
2024-01-11,P001,R07,7,185000,1295000,False
2024-01-12,P001,R01,46,185000,8510000,False
2024-01-12,P001,R02,14,185000,2590000,False
2024-01-12,P001,R03,9,185000,1665000,False
2024-01-12,P001,R04,6,185000,1110000,False
2024-01-12,P001,R05,16,185000,2960000,False
2024-01-12,P001,R06,13,185000,2405000,False
2024-01-12,P001,R07,8,185000,1480000,False
2024-01-13,P001,R01,30,185000,5550000,False
2024-01-13,P001,R02,15,185000,2775000,False
2024-01-13,P001,R03,14,185000,2590000,False
2024-01-13,P001,R04,15,185000,2775000,False
2024-01-13,P001,R05,9,185000,1665000,False
2024-01-13,P001,R06,3,185000,555000,False
2024-01-13,P001,R07,4,185000,740000,False
2024-01-14,P001,R01,34,185000,6290000,False
2024-01-14,P001,R02,10,185000,1850000,False
2024-01-14,P001,R03,13,185000,2405000,False
2024-01-14,P001,R04,14,185000,2590000,False
2024-01-14,P001,R05,8,185000,1480000,False
2024-01-14,P001,R06,8,185000,1480000,False
2024-01-14,P001,R07,5,185000,925000,False
2024-01-15,P001,R01,25,185000,4625000,False
2024-01-15,P001,R02,9,185000,1665000,False
2024-01-15,P001,R03,9,185000,1665000,False
2024-01-15,P001,R04,6,185000,1110000,False
2024-01-15,P001,R05,17,185000,3145000,False
2024-01-15,P001,R06,9,185000,1665000,False
2024-01-15,P001,R07,4,185000,740000,False
2024-01-16,P001,R01,29,185000,5365000,False
2024-01-16,P001,R02,11,185000,2035000,False
2024-01-16,P001,R03,6,185000,1110000,False
2024-01-16,P001,R04,6,185000,1110000,False
2024-01-16,P001,R05,11,185000,2035000,False
2024-01-16,P001,R06,8,185000,1480000,False
2024-01-16,P001,R07,3,185000,555000,False
2024-01-17,P001,R01,50,185000,9250000,False
2024-01-17,P001,R02,13,185000,2405000,False
2024-01-17,P001,R03,13,185000,2405000,False
2024-01-17,P001,R04,6,185000,1110000,False
2024-01-17,P001,R05,8,185000,1480000,False
2024-01-17,P001,R06,6,185000,1110000,False
2024-01-17,P001,R07,9,185000,1665000,False
2024-01-18,P001,R01,37,185000,6845000,False
2024-01-18,P001,R02,14,185000,2590000,False
2024-01-18,P001,R03,11,185000,2035000,False
2024-01-18,P001,R04,14,185000,2590000,False
2024-01-18,P001,R05,14,185000,2590000,False
2024-01-18,P001,R06,9,185000,1665000,False
2024-01-18,P001,R07,5,185000,925000,False
2024-01-19,P001,R01,34,185000,6290000,False
2024-01-19,P001,R02,26,185000,4810000,False
2024-01-19,P001,R03,8,185000,1480000,False
2024-01-19,P001,R04,10,185000,1850000,False
2024-01-19,P001,R05,15,185000,2775000,False
2024-01-19,P001,R06,10,185000,1850000,False
2024-01-19,P001,R07,9,185000,1665000,False
2024-01-20,P001,R01,29,185000,5365000,False
2024-01-20,P001,R02,15,185000,2775000,False
2024-01-20,P001,R03,10,185000,1850000,False
2024-01-20,P001,R04,8,185000,1480000,False
2024-01-20,P001,R05,9,185000,1665000,False
2024-01-20,P001,R06,12,185000,2220000,False
2024-01-20,P001,R07,6,185000,1110000,False
2024-01-21,P001,R01,37,185000,6845000,False
2024-01-21,P001,R02,18,185000,3330000,False
2024-01-21,P001,R03,10,185000,1850000,False
2024-01-21,P001,R04,13,185000,2405000,False
2024-01-21,P001,R05,12,185000,2220000,False
2024-01-21,P001,R06,15,185000,2775000,False
2024-01-21,P001,R07,6,185000,1110000,False
2024-01-22,P001,R01,21,185000,3885000,False
2024-01-22,P001,R02,8,185000,1480000,False
2024-01-22,P001,R03,11,185000,2035000,False
2024-01-22,P001,R04,10,185000,1850000,False
2024-01-22,P001,R05,8,185000,1480000,False
2024-01-22,P001,R06,5,185000,925000,False
2024-01-22,P001,R07,1,185000,185000,False
2024-01-23,P001,R01,23,185000,4255000,False
2024-01-23,P001,R02,9,185000,1665000,False
2024-01-23,P001,R03,8,185000,1480000,False
2024-01-23,P001,R04,14,185000,2590000,False
2024-01-23,P001,R05,8,185000,1480000,False
2024-01-23,P001,R06,9,185000,1665000,False
2024-01-23,P001,R07,4,185000,740000,False
2024-01-24,P001,R01,33,185000,6105000,False
2024-01-24,P001,R02,10,185000,1850000,False
2024-01-24,P001,R03,5,185000,925000,False
2024-01-24,P001,R04,7,185000,1295000,False
2024-01-24,P001,R05,13,185000,2405000,False
2024-01-24,P001,R06,8,185000,1480000,False
2024-01-24,P001,R07,7,185000,1295000,False
2024-01-25,P001,R01,40,185000,7400000,False
2024-01-25,P001,R02,23,185000,4255000,False
2024-01-25,P001,R03,21,185000,3885000,False
2024-01-25,P001,R04,11,185000,2035000,False
2024-01-25,P001,R05,11,185000,2035000,False
2024-01-25,P001,R06,13,185000,2405000,False
2024-01-25,P001,R07,12,185000,2220000,False
2024-01-26,P001,R01,46,185000,8510000,False
2024-01-26,P001,R02,21,185000,3885000,False
2024-01-26,P001,R03,13,185000,2405000,False
2024-01-26,P001,R04,17,185000,3145000,False
2024-01-26,P001,R05,20,185000,3700000,False
2024-01-26,P001,R06,9,185000,1665000,False
2024-01-26,P001,R07,7,185000,1295000,False
2024-01-27,P001,R01,39,185000,7215000,False
2024-01-27,P001,R02,11,185000,2035000,False
2024-01-27,P001,R03,13,185000,2405000,False
2024-01-27,P001,R04,11,185000,2035000,False
2024-01-27,P001,R05,12,185000,2220000,False
2024-01-27,P001,R06,10,185000,1850000,False
2024-01-27,P001,R07,5,185000,925000,False
2024-01-28,P001,R01,31,185000,5735000,False
2024-01-28,P001,R02,14,185000,2590000,False
2024-01-28,P001,R03,7,185000,1295000,False
2024-01-28,P001,R04,9,185000,1665000,False
2024-01-28,P001,R05,9,185000,1665000,False
2024-01-28,P001,R06,6,185000,1110000,False
2024-01-28,P001,R07,4,185000,740000,False
2024-01-29,P001,R01,23,185000,4255000,False
2024-01-29,P001,R02,15,185000,2775000,False
2024-01-29,P001,R03,16,185000,2960000,False
2024-01-29,P001,R04,9,185000,1665000,False
2024-01-29,P001,R05,10,185000,1850000,False
2024-01-29,P001,R06,2,185000,370000,False
2024-01-29,P001,R07,5,185000,925000,False
2024-01-30,P001,R01,37,185000,6845000,False
2024-01-30,P001,R02,13,185000,2405000,False
2024-01-30,P001,R03,20,185000,3700000,False
2024-01-30,P001,R04,6,185000,1110000,False
2024-01-30,P001,R05,11,185000,2035000,False
2024-01-30,P001,R06,7,185000,1295000,False
2024-01-30,P001,R07,8,185000,1480000,False
2024-01-31,P001,R01,32,185000,5920000,False
2024-01-31,P001,R02,13,185000,2405000,False
2024-01-31,P001,R03,19,185000,3515000,False
2024-01-31,P001,R04,12,185000,2220000,False
2024-01-31,P001,R05,7,185000,1295000,False
2024-01-31,P001,R06,7,185000,1295000,False
2024-01-31,P001,R07,6,185000,1110000,False
2024-02-01,P001,R01,42,185000,7770000,False
2024-02-01,P001,R02,17,185000,3145000,False
2024-02-01,P001,R03,18,185000,3330000,False
2024-02-01,P001,R04,6,185000,1110000,False
2024-02-01,P001,R05,13,185000,2405000,False
2024-02-01,P001,R06,13,185000,2405000,False
2024-02-01,P001,R07,9,185000,1665000,False
2024-02-02,P001,R01,41,185000,7585000,False
2024-02-02,P001,R02,22,185000,4070000,False
2024-02-02,P001,R03,10,185000,1850000,False
2024-02-02,P001,R04,14,185000,2590000,False
2024-02-02,P001,R05,22,185000,4070000,False
2024-02-02,P001,R06,14,185000,2590000,False
2024-02-02,P001,R07,3,185000,555000,False
2024-02-03,P001,R01,37,185000,6845000,False
2024-02-03,P001,R02,16,185000,2960000,False
2024-02-03,P001,R03,12,185000,2220000,False
2024-02-03,P001,R04,11,185000,2035000,False
2024-02-03,P001,R05,6,185000,1110000,False
2024-02-03,P001,R06,8,185000,1480000,False
2024-02-03,P001,R07,5,185000,925000,False
2024-02-04,P001,R01,39,185000,7215000,False
2024-02-04,P001,R02,10,185000,1850000,False
2024-02-04,P001,R03,7,185000,1295000,False
2024-02-04,P001,R04,17,185000,3145000,False
2024-02-04,P001,R05,12,185000,2220000,False
2024-02-04,P001,R06,8,185000,1480000,False
2024-02-04,P001,R07,5,185000,925000,False
2024-02-05,P001,R01,37,185000,6845000,False
2024-02-05,P001,R02,19,185000,3515000,False
2024-02-05,P001,R03,15,185000,2775000,False
2024-02-05,P001,R04,9,185000,1665000,False
2024-02-05,P001,R05,12,185000,2220000,False
2024-02-05,P001,R06,11,185000,2035000,False
2024-02-05,P001,R07,3,185000,555000,False
2024-02-06,P001,R01,47,185000,8695000,False
2024-02-06,P001,R02,10,185000,1850000,False
2024-02-06,P001,R03,10,185000,1850000,False
2024-02-06,P001,R04,8,185000,1480000,False
2024-02-06,P001,R05,10,185000,1850000,False
2024-02-06,P001,R06,17,185000,3145000,False
2024-02-06,P001,R07,5,185000,925000,False
2024-02-07,P001,R01,34,185000,6290000,False
2024-02-07,P001,R02,5,185000,925000,False
2024-02-07,P001,R03,6,185000,1110000,False
2024-02-07,P001,R04,10,185000,1850000,False
2024-02-07,P001,R05,8,185000,1480000,False
2024-02-07,P001,R06,5,185000,925000,False
2024-02-07,P001,R07,5,185000,925000,False
2024-02-08,P001,R01,28,185000,5180000,False
2024-02-08,P001,R02,14,185000,2590000,False
2024-02-08,P001,R03,10,185000,1850000,False
2024-02-08,P001,R04,7,185000,1295000,False
2024-02-08,P001,R05,9,185000,1665000,False
2024-02-08,P001,R06,6,185000,1110000,False
2024-02-08,P001,R07,3,185000,555000,False
2024-02-09,P001,R01,52,185000,9620000,False
2024-02-09,P001,R02,16,185000,2960000,False
2024-02-09,P001,R03,22,185000,4070000,False
2024-02-09,P001,R04,13,185000,2405000,False
2024-02-09,P001,R05,15,185000,2775000,False
2024-02-09,P001,R06,19,185000,3515000,False
2024-02-09,P001,R07,8,185000,1480000,False
2024-02-10,P001,R01,25,185000,4625000,False
2024-02-10,P001,R02,19,185000,3515000,False
2024-02-10,P001,R03,19,185000,3515000,False
2024-02-10,P001,R04,8,185000,1480000,False
2024-02-10,P001,R05,18,185000,3330000,False
2024-02-10,P001,R06,12,185000,2220000,False
2024-02-10,P001,R07,6,185000,1110000,False
2024-02-11,P001,R01,24,185000,4440000,False
2024-02-11,P001,R02,14,185000,2590000,False
2024-02-11,P001,R03,15,185000,2775000,False
2024-02-11,P001,R04,7,185000,1295000,False
2024-02-11,P001,R05,10,185000,1850000,False
2024-02-11,P001,R06,8,185000,1480000,False
2024-02-11,P001,R07,4,185000,740000,False
2024-02-12,P001,R01,24,185000,4440000,False
2024-02-12,P001,R02,11,185000,2035000,False
2024-02-12,P001,R03,9,185000,1665000,False
2024-02-12,P001,R04,8,185000,1480000,False
2024-02-12,P001,R05,5,185000,925000,False
2024-02-12,P001,R06,7,185000,1295000,False
2024-02-12,P001,R07,6,185000,1110000,False
2024-02-13,P001,R01,31,185000,5735000,False
2024-02-13,P001,R02,13,185000,2405000,False
2024-02-13,P001,R03,9,185000,1665000,False
2024-02-13,P001,R04,10,185000,1850000,False
2024-02-13,P001,R05,14,185000,2590000,False
2024-02-13,P001,R06,11,185000,2035000,False
2024-02-13,P001,R07,9,185000,1665000,False
2024-02-14,P001,R01,35,185000,6475000,False
2024-02-14,P001,R02,16,185000,2960000,False
2024-02-14,P001,R03,17,185000,3145000,False
2024-02-14,P001,R04,11,185000,2035000,False
2024-02-14,P001,R05,13,185000,2405000,False
2024-02-14,P001,R06,10,185000,1850000,False
2024-02-14,P001,R07,7,185000,1295000,False
2024-02-15,P001,R01,58,185000,10730000,False
2024-02-15,P001,R02,17,185000,3145000,False
2024-02-15,P001,R03,16,185000,2960000,False
2024-02-15,P001,R04,15,185000,2775000,False
2024-02-15,P001,R05,9,185000,1665000,False
2024-02-15,P001,R06,14,185000,2590000,False
2024-02-15,P001,R07,8,185000,1480000,False
2024-02-16,P001,R01,40,185000,7400000,False
2024-02-16,P001,R02,28,185000,5180000,False
2024-02-16,P001,R03,17,185000,3145000,False
2024-02-16,P001,R04,12,185000,2220000,False
2024-02-16,P001,R05,15,185000,2775000,False
2024-02-16,P001,R06,19,185000,3515000,False
2024-02-16,P001,R07,7,185000,1295000,False
2024-02-17,P001,R01,16,185000,2960000,False
2024-02-17,P001,R02,14,185000,2590000,False
2024-02-17,P001,R03,16,185000,2960000,False
2024-02-17,P001,R04,13,185000,2405000,False
2024-02-17,P001,R05,7,185000,1295000,False
2024-02-17,P001,R06,12,185000,2220000,False
2024-02-17,P001,R07,8,185000,1480000,False
2024-02-18,P001,R01,24,185000,4440000,False
2024-02-18,P001,R02,18,185000,3330000,False
2024-02-18,P001,R03,8,185000,1480000,False
2024-02-18,P001,R04,10,185000,1850000,False
2024-02-18,P001,R05,9,185000,1665000,False
2024-02-18,P001,R06,9,185000,1665000,False
2024-02-18,P001,R07,6,185000,1110000,False
2024-02-19,P001,R01,30,185000,5550000,False
2024-02-19,P001,R02,14,185000,2590000,False
2024-02-19,P001,R03,15,185000,2775000,False
2024-02-19,P001,R04,13,185000,2405000,False
2024-02-19,P001,R05,18,185000,3330000,False
2024-02-19,P001,R06,5,185000,925000,False
2024-02-19,P001,R07,1,185000,185000,False
2024-02-20,P001,R01,34,185000,6290000,False
2024-02-20,P001,R02,10,185000,1850000,False
2024-02-20,P001,R03,13,185000,2405000,False
2024-02-20,P001,R04,17,185000,3145000,False
2024-02-20,P001,R05,13,185000,2405000,False
2024-02-20,P001,R06,3,185000,555000,False
2024-02-20,P001,R07,2,185000,370000,False
2024-02-21,P001,R01,52,166500,8658000,True
2024-02-21,P001,R02,13,166500,2164500,True
2024-02-21,P001,R03,15,166500,2497500,True
2024-02-21,P001,R04,8,166500,1332000,True
2024-02-21,P001,R05,10,166500,1665000,True
2024-02-21,P001,R06,5,166500,832500,True
2024-02-21,P001,R07,10,166500,1665000,True
2024-02-22,P001,R01,54,185000,9990000,False
2024-02-22,P001,R02,16,185000,2960000,False
2024-02-22,P001,R03,18,185000,3330000,False
2024-02-22,P001,R04,15,185000,2775000,False
2024-02-22,P001,R05,16,185000,2960000,False
2024-02-22,P001,R06,12,185000,2220000,False
2024-02-22,P001,R07,9,185000,1665000,False
2024-02-23,P001,R01,55,185000,10175000,False
2024-02-23,P001,R02,20,185000,3700000,False
2024-02-23,P001,R03,19,185000,3515000,False
2024-02-23,P001,R04,14,185000,2590000,False
