date,line_id,shift,scheduled_headcount,present_headcount
2024-01-01,L1,Evening (14:00-22:00),4,4
2024-01-02,L1,Evening (14:00-22:00),4,4
2024-01-03,L1,Evening (14:00-22:00),4,3
2024-01-04,L1,Evening (14:00-22:00),4,3
2024-01-05,L1,Evening (14:00-22:00),4,4
2024-01-06,L1,Evening (14:00-22:00),4,3
2024-01-07,L1,Evening (14:00-22:00),4,3
2024-01-08,L1,Evening (14:00-22:00),4,4
2024-01-09,L1,Evening (14:00-22:00),4,4
2024-01-10,L1,Evening (14:00-22:00),4,4
2024-01-11,L1,Evening (14:00-22:00),4,4
2024-01-12,L1,Evening (14:00-22:00),4,3
2024-01-13,L1,Evening (14:00-22:00),4,4
2024-01-14,L1,Evening (14:00-22:00),4,4
2024-01-15,L1,Evening (14:00-22:00),4,3
2024-01-16,L1,Evening (14:00-22:00),4,4
2024-01-17,L1,Evening (14:00-22:00),4,3
2024-01-18,L1,Evening (14:00-22:00),4,3
2024-01-19,L1,Evening (14:00-22:00),4,4
2024-01-20,L1,Evening (14:00-22:00),4,4
2024-01-21,L1,Evening (14:00-22:00),4,4
2024-01-22,L1,Evening (14:00-22:00),4,4
2024-01-23,L1,Evening (14:00-22:00),4,4
2024-01-24,L1,Evening (14:00-22:00),4,4
2024-01-25,L1,Evening (14:00-22:00),4,4
2024-01-26,L1,Evening (14:00-22:00),4,4
2024-01-27,L1,Evening (14:00-22:00),4,4
2024-01-28,L1,Evening (14:00-22:00),4,4
2024-01-29,L1,Evening (14:00-22:00),4,4
2024-01-30,L1,Evening (14:00-22:00),4,4
2024-01-31,L1,Evening (14:00-22:00),4,3
2024-02-01,L1,Evening (14:00-22:00),4,4
2024-02-02,L1,Evening (14:00-22:00),4,4
2024-02-03,L1,Evening (14:00-22:00),4,4
2024-02-04,L1,Evening (14:00-22:00),4,4
2024-02-05,L1,Evening (14:00-22:00),4,3
2024-02-06,L1,Evening (14:00-22:00),4,4
2024-02-07,L1,Evening (14:00-22:00),4,4
2024-02-08,L1,Evening (14:00-22:00),4,4
2024-02-09,L1,Evening (14:00-22:00),4,4
2024-02-10,L1,Evening (14:00-22:00),4,4
2024-02-11,L1,Evening (14:00-22:00),4,2
2024-02-12,L1,Evening (14:00-22:00),4,4
2024-02-13,L1,Evening (14:00-22:00),4,4
2024-02-14,L1,Evening (14:00-22:00),4,4
2024-02-15,L1,Evening (14:00-22:00),4,4
2024-02-16,L1,Evening (14:00-22:00),4,2
2024-02-17,L1,Evening (14:00-22:00),4,4
2024-02-18,L1,Evening (14:00-22:00),4,4
2024-02-19,L1,Evening (14:00-22:00),4,3
2024-02-20,L1,Evening (14:00-22:00),4,4
2024-02-21,L1,Evening (14:00-22:00),4,4
2024-02-22,L1,Evening (14:00-22:00),4,4
2024-02-23,L1,Evening (14:00-22:00),4,3
2024-02-24,L1,Evening (14:00-22:00),4,4
2024-02-25,L1,Evening (14:00-22:00),4,4
2024-02-26,L1,Evening (14:00-22:00),4,3
2024-02-27,L1,Evening (14:00-22:00),4,4
2024-02-28,L1,Evening (14:00-22:00),4,4
2024-02-29,L1,Evening (14:00-22:00),4,4
2024-03-01,L1,Evening (14:00-22:00),4,4
2024-03-02,L1,Evening (14:00-22:00),4,3
2024-03-03,L1,Evening (14:00-22:00),4,4
2024-03-04,L1,Evening (14:00-22:00),4,3
2024-03-05,L1,Evening (14:00-22:00),4,4
2024-03-06,L1,Evening (14:00-22:00),4,4
2024-03-07,L1,Evening (14:00-22:00),4,3
2024-03-08,L1,Evening (14:00-22:00),4,4
2024-03-09,L1,Evening (14:00-22:00),4,4
2024-03-10,L1,Evening (14:00-22:00),4,4
2024-03-11,L1,Evening (14:00-22:00),4,4
2024-03-12,L1,Evening (14:00-22:00),4,4
2024-03-13,L1,Evening (14:00-22:00),4,4
2024-03-14,L1,Evening (14:00-22:00),4,4
2024-03-15,L1,Evening (14:00-22:00),4,4
2024-03-16,L1,Evening (14:00-22:00),4,4
2024-03-17,L1,Evening (14:00-22:00),4,4
2024-03-18,L1,Evening (14:00-22:00),4,3
2024-03-19,L1,Evening (14:00-22:00),4,4
2024-03-20,L1,Evening (14:00-22:00),4,4
2024-03-21,L1,Evening (14:00-22:00),4,4
2024-03-22,L1,Evening (14:00-22:00),4,3
2024-03-23,L1,Evening (14:00-22:00),4,4
2024-03-24,L1,Evening (14:00-22:00),4,4
2024-03-25,L1,Evening (14:00-22:00),4,3
2024-03-26,L1,Evening (14:00-22:00),4,4
2024-03-27,L1,Evening (14:00-22:00),4,4
2024-03-28,L1,Evening (14:00-22:00),4,3
2024-03-29,L1,Evening (14:00-22:00),4,4
2024-03-30,L1,Evening (14:00-22:00),4,4
2024-03-31,L1,Evening (14:00-22:00),4,4
2024-04-01,L1,Evening (14:00-22:00),4,4
2024-04-02,L1,Evening (14:00-22:00),4,4
2024-04-03,L1,Evening (14:00-22:00),4,4
2024-04-04,L1,Evening (14:00-22:00),4,4
2024-04-05,L1,Evening (14:00-22:00),4,4
2024-04-06,L1,Evening (14:00-22:00),4,4
2024-04-07,L1,Evening (14:00-22:00),4,3
2024-04-08,L1,Evening (14:00-22:00),4,4
2024-04-09,L1,Evening (14:00-22:00),4,3
2024-04-10,L1,Evening (14:00-22:00),4,3
2024-04-11,L1,Evening (14:00-22:00),4,4
2024-04-12,L1,Evening (14:00-22:00),4,3
2024-04-13,L1,Evening (14:00-22:00),4,4
2024-04-14,L1,Evening (14:00-22:00),4,4
2024-04-15,L1,Evening (14:00-22:00),4,4
2024-04-16,L1,Evening (14:00-22:00),4,4
2024-04-17,L1,Evening (14:00-22:00),4,4
2024-04-18,L1,Evening (14:00-22:00),4,2
2024-04-19,L1,Evening (14:00-22:00),4,4
2024-04-20,L1,Evening (14:00-22:00),4,4
2024-04-21,L1,Evening (14:00-22:00),4,4
2024-04-22,L1,Evening (14:00-22:00),4,4
2024-04-23,L1,Evening (14:00-22:00),4,4
2024-04-24,L1,Evening (14:00-22:00),4,4
2024-04-25,L1,Evening (14:00-22:00),4,4
2024-04-26,L1,Evening (14:00-22:00),4,4
2024-04-27,L1,Evening (14:00-22:00),4,4
2024-04-28,L1,Evening (14:00-22:00),4,4
2024-04-29,L1,Evening (14:00-22:00),4,4
2024-04-30,L1,Evening (14:00-22:00),4,4
2024-05-01,L1,Evening (14:00-22:00),4,4
2024-05-02,L1,Evening (14:00-22:00),4,4
2024-05-03,L1,Evening (14:00-22:00),4,4
2024-05-04,L1,Evening (14:00-22:00),4,4
2024-05-05,L1,Evening (14:00-22:00),4,3
2024-05-06,L1,Evening (14:00-22:00),4,4
2024-05-07,L1,Evening (14:00-22:00),4,4
2024-05-08,L1,Evening (14:00-22:00),4,4
2024-05-09,L1,Evening (14:00-22:00),4,4
2024-05-10,L1,Evening (14:00-22:00),4,3
2024-05-11,L1,Evening (14:00-22:00),4,4
